id,link,title,author,image_link,publisher,description,genre,format,subject,audience,collection
708089,http://catalog.douglascountylibraries.org//Record/708089,JFKdirector's cut,"Alcor Films;Sklar, Zachary;Costner, Kevin;Ixtlan Corporation;Ho, A. Kitman;Spacek, Sissy;Jones, Tommy Lee, 1946-;Stone, Oliver;Marrs, Jim;Studio Canal+;Warner Home Video (Firm);Garrison, Jim, 1921-1992;Bacon, Kevin, 1958-;Regency Enterprises;Warner Bros. Pictures (1969- )",http://catalog.douglascountrylibraries.org/bookcover.php?isn=141987277X&upc=883929033690&id=708089&size=small,"distr. Warner Home Video,",New Orleans DA Jim Garrison investigates the assassination of President Kennedy and uncovers what amounts to a coup d'etat to kill him because he wanted to pull out of Vietnam.,Feature films;Video recordings for the hearing impaired,DVD,"Kennedy, John F. (John Fitzgerald), 1917-1963 Assassination Drama;Presidents Assassination United States Drama",Adult,DVD
709070,http://catalog.douglascountylibraries.org//Record/709070,Yoga zone.beginner to intermediate,"KOCH Vision (Firm);Matkin, Charles;Bennett, Lisa;Yoga Zone LLC;Ambandos, Andrea",http://catalog.douglascountrylibraries.org/bookcover.php?isn=1417227729&upc=741952612292 (DVD)&id=709070&size=small,"Distr. KOCH Vision,",,,DVD,Hatha yoga;Yoga;Yoga Study and teaching;Meditation;Exercise;Reducing exercises,,DVD
710903,http://catalog.douglascountylibraries.org//Record/710903,American Revolution,"Murray, Stuart, 1948-",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780756610609&upc=&id=710903&size=small,"DK in association with the Smithsonian Institution,","A visual guide, accompanied by text, to the people, battles, and events of America's war for independence.",,Book,Revolutions History 18th century Juvenile literature,Juvenile,Books
713817,http://catalog.douglascountylibraries.org//Record/713817,Animal antics,"Sams, B. B;Gaydos, Nora",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9781584762423&upc=&id=713817&size=small,"Innovative Kids,",,,Book,Reading Phonetic method Juvenile literature;Reading (Elementary) Juvenile literature;Creative activities and seat work Juvenile literature,Juvenile,Books
713818,http://catalog.douglascountylibraries.org//Record/713818,On the go!,"Sams, B. B;Gaydos, Nora",http://catalog.douglascountrylibraries.org/bookcover.php?isn=1584762454&upc=&id=713818&size=small,"Innovative Kids,",,,Book,Reading Phonetic method Juvenile literature;Reading (Elementary) Juvenile literature;Creative activities and seat work Juvenile literature,Juvenile,Books
721029,http://catalog.douglascountylibraries.org//Record/721029,The unofficial LEGO builder's guide,"Bedford, Allan",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9781593274412&upc=&id=721029&size=small,"No Starch Press,",,,Book,LEGO toys,,Books
722880,http://catalog.douglascountylibraries.org//Record/722880,Dog's day,"Cabrera, Jane",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0531302628&upc=&id=722880&size=small,"Orchard Books,","Dog has a very busy day with his animal friends, swinging from the trees with Monkey, flying through the clouds with Bird, hopping and jumping with Rabbit, and more.",,Storytime Materials,Dogs Juvenile fiction;Animals Juvenile fiction;Play Juvenile fiction;Storytime materials (For staff use in library),Juvenile,Other
723481,http://catalog.douglascountylibraries.org//Record/723481,Bad kitty,"Bruel, Nick",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9781596430693&upc=&id=723481&size=small,"Roaring Brook Press,","When a kitty discovers there is no cat food in the house, she decides to become very, very bad.",,Picture Book,Cats Juvenile fiction;Food Juvenile fiction;Human behavior Juvenile fiction;Alphabet Juvenile fiction,Juvenile,Books
723669,http://catalog.douglascountylibraries.org//Record/723669,The untouchables,"De Palma, Brian;Mamet, David;Smith, Charles Martin;De Niro, Robert;Paramount DVD;Costner, Kevin;Garcia, Andy;Paramount Pictures Corporation;Linson, Art;Connery, Sean",http://catalog.douglascountrylibraries.org/bookcover.php?isn=079219909X&upc=097360504248&id=723669&size=small,"Paramount Pictures,",,Feature films;Video recordings for the hearing impaired,DVD,"Capone, Al, 1899-1947 Drama;Ness, Eliot Drama;Crime Illinois Chicago History Drama",Adult,DVD
724056,http://catalog.douglascountylibraries.org//Record/724056,The agony and the ecstasy :a biographical novel of Michelangelo,"Stone, Irving, 1903-1989",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780451213235&upc=&id=724056&size=small,"New American Library,",,Biographical fiction;Historical fiction,Book,"Michelangelo Buonarroti, 1475-1564 Fiction;Artists Italy Fiction",,Books
724343,http://catalog.douglascountylibraries.org//Record/724343,E.T. :the extra-terrestrial,"Universal Studios Home Entertainment (Firm);Spielberg, Steven, 1946-;Thomas, Henry;Stone, Dee Wallace, 1948-",http://catalog.douglascountrylibraries.org/bookcover.php?isn=1417065818&upc=025192866524&id=724343&size=small,"Distr. Universal Studios,",,Feature films;Video recordings for the hearing impaired,DVD,Life on other planets Drama;Friendship Drama,General,DVD
737718,http://catalog.douglascountylibraries.org//Record/737718,If you could see me now,"Ahern, Cecelia, 1981-",http://catalog.douglascountrylibraries.org/bookcover.php?isn=9780786891139&upc=&id=737718&size=small,"Hyperion,",,Psychological fiction,Book,Sisters Fiction;Sibling rivalry Fiction,,Books
739864,http://catalog.douglascountylibraries.org//Record/739864,Nicaragua,"Streiffert, Kristi;Kott, Jennifer, 1971-",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0761419691&upc=&id=739864&size=small,"Marshall Cavendish Benchmark,","An introduction to the geography, history, government, economy, culture, religion and social life and customs of Nicaragua.",,Book,,Juvenile,Books
744477,http://catalog.douglascountylibraries.org//Record/744477,Sweet bird of youth,"Newman, Paul, 1925-2008;Page, Geraldine;Berman, Pandro S., 1905-1996;Brooks, Richard, 1912-1992;Begley, Sr;Williams, Tennessee, 1911-1983",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0790776596&upc=012569573123&id=744477&size=small,"Warner Home Video,","A Hollywood gigolo, determined to become a star, teams up with Alexandra Del Lago, a washed-up Hollywood actress, on his way back to his small-town home.",,DVD,,Adult,DVD
750388,http://catalog.douglascountylibraries.org//Record/750388,Volcanoes,"Niz, Xavier",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0736843094&upc=9780736843096&id=750388&size=small,"Capstone Press,","""Describes volcanoes, including how they form, plants and animals near volcanoes, how people and weather change volcanoes, volcanoes in North America, and the Ring of Fire""--Provided by publisher.",,Book,Volcanoes Juvenile literature,Juvenile,Books
751917,http://catalog.douglascountylibraries.org//Record/751917,Dark light,"White, Randy Wayne",http://catalog.douglascountrylibraries.org/bookcover.php?isn=0399153365&upc=&id=751917&size=small,"G.P. Putnam's Sons,",,"Suspense fiction;Detective and mystery stories, American",Book,"Ford, Doc (Fictitious character) Fiction;Marine biologists Fiction;Shipwrecks Fiction",,Books
758872,http://catalog.douglascountylibraries.org//Record/758872,Pots and pans,,http://catalog.douglascountrylibraries.org/bookcover.php?isn=null&upc=&id=758872&size=small,,"Rhyming text imitates Baby finding pots, pans, lids, and cans in the kitchen.",,,,,
